relpath	parent_path	base_key	index	new_key	new_value	new_comment
messages.yml		placeholders		platzhalter		
messages.yml		alreadyTeleporting		wirdBereitsTeleportiert		
messages.yml		teleportDeniedReloading		teleportVerweigertNeuladen		
messages.yml		delayMessage		verzoegerungsNachricht		
messages.yml		chunkLoading		chunksLaden		
messages.yml		teleportMessage		teleportNachricht		
messages.yml		teleportCancel		teleportAbbruch		
messages.yml		unsafe		unsicher		
messages.yml		cooldownMessage		abklingzeitNachricht		
messages.yml		noLocationsQueued		keineOrteInWarteschlange		
messages.yml		queueUpdate		warteschlangenAktualisierung		
messages.yml		notEnoughMoney		nichtGenugGeld		
messages.yml		days		tage		
messages.yml		hours		stunden		
messages.yml		minutes		minuten		
messages.yml		seconds		sekunden		
messages.yml		millis		millis		
messages.yml		oldFile		alteDatei		
messages.yml		newWorld		neueWelt		
messages.yml		invalidWorld		ungueltigeWelt		
messages.yml		reloading		ladeNeu		
messages.yml		reloaded		neuGeladen		
messages.yml		updating		aktualisiere		
messages.yml		updated		aktualisiert		
messages.yml		badArg		ungueltigesArgument		
messages.yml		consoleCmdNotAllowed		konsolenBefehlNichtErlaubt		
messages.yml		busy		beschaeftigt		
messages.yml		invalidCommand		ungueltigerBefehl		
messages.yml		noPerms		keineBerechtigung		
messages.yml		locationSaved		ortGespeichert		
messages.yml		locationLoaded		ortGeladen		
messages.yml		scanStart		scanStart		
messages.yml		scanReset		scanZuruecksetzen		
messages.yml		scanCancel		scanAbbruch		
messages.yml		scanPause		scanPause		
messages.yml		scanResume		scanFortsetzen		
messages.yml		scanRunning		scanLaeuft		
messages.yml		scanNotRunning		scanLaeuftNicht		
messages.yml		scanStatus		scanStatus		
messages.yml		infoTitle		infoTitel		
messages.yml		infoTickets		infoTickets		
messages.yml		infoTeleports		infoTeleports		
messages.yml		infoMSPT		infoMSPT		
messages.yml		infoTotalLoads		infoLadevorgaengeGesamt		
messages.yml		infoLoadsByOrigin		infoLadevorgaengeNachUrsprung		
messages.yml		infoLeakRate		infoLeckRate		
messages.yml		infoQueueDepth		infoWarteschlangenTiefe		
messages.yml		infoPendingTeleports		infoAusstehendeTeleports		
messages.yml		infoAvgPipelineMs		infoDurchschnittPipelineMs		
messages.yml		infoHeap		infoHeap		
messages.yml		infoHealthPipelineHeader		infoZustandPipelineKopf		
messages.yml		infoTps		infoTps		
messages.yml		infoMSPTLive		infoMSPTLive		
messages.yml		infoSoftCap		infoSoftLimit		
messages.yml		infoDatabaseLatencyMs		infoDatenbankLatenzMs		
messages.yml		infoThresholdTpsGreen		infoSchwelleTpsGruen		
messages.yml		infoThresholdTpsYellow		infoSchwelleTpsGelb		
messages.yml		infoThresholdMsptGreen		infoSchwelleMsptGruen		
messages.yml		infoThresholdMsptYellow		infoSchwelleMsptGelb		
messages.yml		infoThresholdCacheFillGreen		infoSchwelleCacheFuellungGruen		
messages.yml		infoThresholdCacheFillYellow		infoSchwelleCacheFuellungGelb		
messages.yml		infoThresholdNetworkAgeYellow		infoSchwelleNetzwerkAlterGelb		
messages.yml		infoFoliaRegionsHeader		infoFoliaRegionenKopf		
messages.yml		infoFoliaRegion		infoFoliaRegion		
messages.yml		infoDisclaimerHeader		infoHinweisKopf		
messages.yml		infoDisclaimer		infoHinweis		
messages.yml		infoWorldHeader		infoWeltKopf		
messages.yml		infoConsoleWorldHeader		infoKonsoleWeltKopf		
messages.yml		infoWorld		infoWelt		
messages.yml		infoRegionHeader		infoRegionKopf		
messages.yml		infoConsoleRegionHeader		infoKonsoleRegionKopf		
messages.yml		infoRegion		infoRegion		
messages.yml		worldInfo		weltInfo		
messages.yml		regionInfo		regionInfo		
messages.yml		rtp		rtp		
messages.yml		rtp_description		rtpBeschreibung		
messages.yml		help		hilfe		
messages.yml		help_description		hilfeBeschreibung		
messages.yml		reload		neuladen		
messages.yml		reload_description		neuladenBeschreibung		
messages.yml		scan		scan		
messages.yml		scan_description		scanBeschreibung		
messages.yml		config_description		konfigBeschreibung		
messages.yml		info_description		infoBeschreibung		
messages.yml		test_description		testBeschreibung		
messages.yml		menuInvalid		menueUngueltig		
messages.yml		menuUnknownPlayer		menueUnbekannterSpieler		
messages.yml		menuHoverFallbackType		menueHoverTypFallback		
messages.yml		menuHoverFallbackBounds		menueHoverGrenzenFallback		
messages.yml		menuBack		menueZurueck		
messages.yml		menuExecute		menueAusfuehren		
messages.yml		menuPickValue		menueWertWaehlen		
messages.yml		menuTypeValue		menueWertEingeben		
messages.yml		menuConstructed		menueZusammengebaut		
messages.yml		menuRootTitle		menueHauptTitel		
messages.yml		menuRootHint		menueHauptHinweis		
messages.yml		menuPagePrev		menueSeiteZurueck		
messages.yml		menuPageNext		menueSeiteVor		
messages.yml		menuFrontPageSectionTeleport		menueStartseiteAbschnittTeleport		
messages.yml		menuFrontPageRowTeleport		menueStartseiteZeileTeleport		
messages.yml		menuFrontPageRowRegion		menueStartseiteZeileRegion		
messages.yml		menuFrontPageRowBiome		menueStartseiteZeileBiom		
messages.yml		menuFrontPageRowHelp		menueStartseiteZeileHilfe		
messages.yml		menuFrontPageRowAdmin		menueStartseiteZeileAdmin		
messages.yml		menuFrontPageHoverAdmin		menueStartseiteHoverAdmin		
messages.yml		menuAdminPanelTitle		menueAdminPanelTitel		
messages.yml		menuAdminPanelHint		menueAdminPanelHinweis		
messages.yml		menuAdminPanelSectionConfig		menueAdminPanelAbschnittKonfig		
messages.yml		menuAdminPanelSectionDiagnostics		menueAdminPanelAbschnittDiagnose		
messages.yml		menuAdminPanelSectionLifecycle		menueAdminPanelAbschnittLebenszyklus		
messages.yml		menuAdminPanelSectionBrowse		menueAdminPanelAbschnittDurchsuchen		
messages.yml		menuAdminPanelRowConfig		menueAdminPanelZeileKonfig		
messages.yml		menuAdminPanelHoverConfig		menueAdminPanelHoverKonfig		
messages.yml		menuAdminPanelRowRegions		menueAdminPanelZeileRegionen		
messages.yml		menuAdminPanelHoverRegions		menueAdminPanelHoverRegionen		
messages.yml		menuAdminPanelRowWorlds		menueAdminPanelZeileWelten		
messages.yml		menuAdminPanelHoverWorlds		menueAdminPanelHoverWelten		
messages.yml		menuAdminPanelRowEffects		menueAdminPanelZeileEffekte		
messages.yml		menuAdminPanelHoverEffects		menueAdminPanelHoverEffekte		
messages.yml		menuAdminPanelRowInfo		menueAdminPanelZeileInfo		
messages.yml		menuAdminPanelHoverInfo		menueAdminPanelHoverInfo		
messages.yml		menuAdminPanelRowDiagnostics		menueAdminPanelZeileDiagnose		
messages.yml		menuAdminPanelHoverDiagnostics		menueAdminPanelHoverDiagnose		
messages.yml		menuAdminPanelRowMemory		menueAdminPanelZeileSpeicher		
messages.yml		menuAdminPanelHoverMemory		menueAdminPanelHoverSpeicher		
messages.yml		menuAdminPanelRowScan		menueAdminPanelZeileScan		
messages.yml		menuAdminPanelHoverScan		menueAdminPanelHoverScan		
messages.yml		menuAdminPanelRowReload		menueAdminPanelZeileNeuladen		
messages.yml		menuAdminPanelHoverReload		menueAdminPanelHoverNeuladen		
messages.yml		menuAdminPanelRowBrowse		menueAdminPanelZeileDurchsuchen		
messages.yml		menuAdminPanelHoverBrowse		menueAdminPanelHoverDurchsuchen		
messages.yml		menuAdminPanelRowBack		menueAdminPanelZeileZurueck		
messages.yml		menuAdminPanelRowVisualizations		menueAdminPanelZeileVisualisierungen		
messages.yml		menuAdminPanelHoverVisualizations		menueAdminPanelHoverVisualisierungen		
messages.yml		menuAdminPanelSectionVisualizations		menueAdminPanelAbschnittVisualisierungen		
messages.yml		menuVisualizationsTitle		menueVisualisierungenTitel		
messages.yml		menuVisualizationsHint		menueVisualisierungenHinweis		
messages.yml		menuVisualizationsRowRegion		menueVisualisierungenZeileRegion		
messages.yml		menuVisualizationsHoverRegion		menueVisualisierungenHoverRegion		
messages.yml		menuVisualizationsEmpty		menueVisualisierungenLeer		
messages.yml		menuVisualizationsRowBack		menueVisualisierungenZeileZurueck		
messages.yml		menuAdminPanelSectionSetup		menueAdminPanelAbschnittEinrichtung		
messages.yml		menuPrefabSurvivalDefaultRow		menueVorlageSurvivalStandardZeile		
messages.yml		menuPrefabSurvivalDefaultHover		menueVorlageSurvivalStandardHover		
messages.yml		menuPrefabLowPerformanceRow		menueVorlageNiedrigeLeistungZeile		
messages.yml		menuPrefabLowPerformanceHover		menueVorlageNiedrigeLeistungHover		
messages.yml		menuPrefabHighPerformanceRow		menueVorlageHoheLeistungZeile		
messages.yml		menuPrefabHighPerformanceHover		menueVorlageHoheLeistungHover		
messages.yml		menuPrefabFoliaTunedRow		menueVorlageFoliaOptimiertZeile		
messages.yml		menuPrefabFoliaTunedHover		menueVorlageFoliaOptimiertHover		
messages.yml		menuPrefabMultiWorldRow		menueVorlageMehrweltZeile		
messages.yml		menuPrefabMultiWorldHover		menueVorlageMehrweltHover		
messages.yml		menuPrefabConfirmTitle		menueVorlageBestaetigenTitel		
messages.yml		menuPrefabConfirmHint		menueVorlageBestaetigenHinweis		
messages.yml		menuPrefabConfirmRow		menueVorlageBestaetigenZeile		
messages.yml		menuPrefabCancelRow		menueVorlageAbbrechenZeile		
messages.yml		infoBookRefreshRow		infoBuchAktualisierenZeile		
messages.yml		infoBookRefreshHover		infoBuchAktualisierenHover		
messages.yml		infoBookSwitchToTextRow		infoBuchZuChatWechselnZeile		
messages.yml		infoBookSwitchToTextHover		infoBuchZuChatWechselnHover		
messages.yml		infoBookOverflowFooter		infoBuchUeberlaufFusszeile		
messages.yml		infoBookAutoRefreshDeferredNote		infoBuchAutoAktualisierenHinweis		
messages.yml		configSelectorTitle		konfigSelektorTitel		
messages.yml		configSelectorBackRow		konfigSelektorZurueckZeile		
messages.yml		configFileTitle		konfigDateiTitel		
messages.yml		configFileBackRow		konfigDateiZurueckZeile		
messages.yml		configFileEmptyHint		konfigDateiLeerHinweis		
messages.yml		configKeyRowFormat		konfigSchluesselZeilenFormat		
messages.yml		configKeyHoverFormat		konfigSchluesselHoverFormat		
messages.yml		configTypePickerTitle		konfigTypAuswahlTitel		
messages.yml		configSubParamPageTitle		konfigUnterparameterSeitenTitel		
messages.yml		configViewRawHint		konfigRohansichtHinweis		
messages.yml		configValueUnsetPlaceholder		konfigWertNichtGesetztPlatzhalter		
messages.yml		configPendingHeader		konfigAusstehendKopf		
messages.yml		configPendingRowFormat		konfigAusstehendZeilenFormat		
messages.yml		configPendingRowHover		konfigAusstehendZeileHover		
messages.yml		configApplyRow		konfigAnwendenZeile		
messages.yml		configDiscardRow		konfigVerwerfenZeile		
messages.yml		mapBindingMissing		karteBindungFehlt		
messages.yml		mapResolverMissing		karteResolverFehlt		
messages.yml		mapUnavailable		karteNichtVerfuegbar		
