relpath	parent_path	base_key	index	new_key	new_value	new_comment
metrics.yml		version				# ÄNDERE NICHT DIE VERSIONSNUMMER
integrations.yml		version				# ÄNDERE NICHT DIE VERSIONSNUMMER
config.yml	network.redis	enabled				# Redis-gestützte Netzwerk-Zustandsbindung aktivieren.\n# @type: boolean\n# @default: false
config.yml	network.redis	host				# Redis-Host.\n# @type: string
config.yml	network.redis	port				# Redis-Port.\n# @type: integer\n# @range: [1, 65535]
config.yml	network.redis	password				# Redis-Passwort. Ein leerer String deaktiviert die Authentifizierung.\n# @type: string
config.yml	menu	renderer				# Geordnete Präferenzliste von Renderer-IDs.\n# @type: list<enum>\n# @options: ["book", "chat"]
performance.yml		maxAttempts				# --- RTP Leistungseinstellungen ---\n# Dokumentation: https://github.com/DailyStruggle/RTP/blob/master/docs/admin/PERFORMANCE.md\n# Maximale Suchversuche pro /rtp-Aufruf, bevor aufgegeben wird.\n# @type: integer\n# @range: [1, null]\n# @default: 32
performance.yml		viewDistanceSelect				# Chunk-Radius, der während der Auswahl rund um einen Kandidatenort geladen wird.\n# 0 lädt nur den Kandidaten-Chunk.\n# @type: integer\n# @range: [0, null]\n# @unit: chunks\n# @default: 0
performance.yml		viewDistanceTeleport				# Chunk-Radius, der unmittelbar vor dem Teleport rund um den endgültigen Ort\n# geladen wird. 0 lädt nur den Ziel-Chunk.\n# @type: integer\n# @range: [0, null]\n# @unit: chunks\n# @default: 0
performance.yml		period				# Ticks zwischen Hintergrund-Cache-Zyklen (Regions-Vorbefüllung, Warteschlangen-Auffüllung).\n# @type: integer\n# @range: [1, null]\n# @unit: ticks\n# @default: 20
performance.yml		syncAllottedTime				# Maximale Millisekunden pro Tick für synchrone Aufgaben.\n# @type: integer\n# @range: [1, null]\n# @unit: ms\n# @default: 50
performance.yml		asyncAllottedTime				# Maximale Millisekunden pro Tick für asynchrone Aufgaben.\n# @type: integer\n# @range: [1, null]\n# @unit: ms\n# @default: 50
performance.yml		minTPS				# Mindest-Server-TPS, die zum Fortführen der Hintergrund-Warteschlange nötig ist.\n# Hintergrundarbeit pausiert, wenn die TPS unter diesen Schwellenwert fallen.\n# @type: number\n# @range: [0.0, 20.0]\n# @default: 19.0
performance.yml		postTeleportQueueing				# Den Regions-Cache unmittelbar nach einem erfolgreichen Teleport auffüllen.\n# @type: boolean\n# @default: false
performance.yml		syncLoading				# Synchrones Chunk-Laden verwenden. NICHT EMPFOHLEN. Verletzt den Geist von S-005\n# auf Folia und blockiert den Haupt-Thread auf Paper/Spigot.\n# @type: boolean\n# @default: false
performance.yml		onEventParsing				# Berechtigungsknoten bei jedem Ereignis neu auswerten, statt sie zu cachen.\n# @type: boolean\n# @default: false
performance.yml		effectParsing				# Effekt-Berechtigungsknoten beim Start auswerten.\n# @type: boolean\n# @default: true
performance.yml		biomeRecall				# Zuvor gefundene biom-passende Orte aus dem Cache wiederverwenden.\n# @type: boolean\n# @default: true
performance.yml		biomeRecallForced				# Wenn gesetzt, biom-gefilterte Anfragen nur aus dem Cache bedienen (niemals\n# neue Biom-Suchen erzeugen). Erfordert biomeRecall.\n# @type: boolean\n# @default: false
performance.yml		checkOnChunkLoads				# In allen geladenen Chunks nach sicheren Landeplätzen suchen (opportunistische\n# Vorbefüllung).\n# @type: boolean\n# @default: false
performance.yml		visitorEnabled				# Hintergrund-Datenerfassung für Besucher-Analysen aktivieren.\n# @type: boolean\n# @default: false
performance.yml		pregeneratedPreference				# Wahrscheinlichkeit, einen nicht generierten Chunk pro Auswahlversuch abzulehnen.\n# 0.0 = keine Bevorzugung (Standard), 1.0 = nicht generiertes Land strikt meiden.\n# Generierte Chunks bestehen immer.\n# @type: number\n# @range: [0.0, 1.0]\n# @default: 0.0
performance.yml		backlogRefillThreshold				# Anteil der L3-Backlog-Kapazität, bei dem das Auffüllen wieder einsetzt (Hysterese).\n# 0.5 = erst auffüllen, wenn L3 auf 50% geleert ist (Standard). 1.0 = kontinuierlich\n# auffüllen. Höhere Werte gruppieren .mca-Bin-Prüfungen für bessere\n# CPU-/Speichereffizienz.\n# @type: number\n# @range: [0.0, 1.0]\n# @default: 0.5
performance.yml		prefab				# Einstellungen für /rtp admin prefab. Der `apply` -> `confirm`-Ablauf schreibt\n# jede berührte Konfigurationsdatei mit einem gleichnamigen Backup\n# <file>.yml.bak.<epochMillis>; `bakRetention` begrenzt, wie viele solcher\n# Backups je Datei behalten werden, älteste zuerst entfernt. Auf 1 setzen, um nur\n# das neueste Backup zu behalten; Werte unter 1 werden auf 1 angehoben. /rtp admin\n# prefab rollback geht Backups über mehrere Aufrufe vom neuesten zum ältesten durch.
performance.yml		version				# ÄNDERE NICHT DIE VERSIONSNUMMER
network.yml		network				# RTP Netzwerkmodus (Multi-Server / Multi-Proxy)\n#\n# Phase 2e von MULTI_SERVER_PLAN.md. Standardmäßig deaktiviert; das Umstellen von\n# `network.enabled: true` nimmt dieses Backend in das serverübergreifende Netzwerk auf.\n# Siehe rtp-proxy-ADR-002 für das vollständige Schema und rtp-proxy-ADR-011 für die\n# hier dokumentierte DB-als-Bus-Bindung (`transport.type: sql`).\n#\n# REQ-RTP-NET-002 (Verhaltensgleichheit bei Deaktivierung): wenn `enabled: false`,\n# wird diese Datei gelesen, validiert und ansonsten ignoriert - es starten keine Threads,\n# es werden keine Datenbanktabellen erstellt, es öffnet kein Transport. Das Backend verhält\n# sich byte-identisch zu einem Build vor Phase 2.
network.yml	network	serverId				# Stabile Backend-Identität. Erforderlich, wenn `enabled: true`. Kein Standard - der\n# Betreiber MUSS eine angeben; zwei Backends mit derselben serverId überschreiben\n# gegenseitig ihre Heartbeat-Zeile.
network.yml	network	role				# Backends nehmen niemals eine Proxy-Rolle an. `role: backend` ist der einzige gültige\n# Wert auf dieser Seite; das Feld existiert nur aus Symmetrie zu Proxy-\n# Adaptern (die `role: auto | proxy` berücksichtigen).
network.yml	network	secretEnv				# Umgebungsvariable mit dem gemeinsamen HMAC-Secret. Erforderlich, wenn\n# `enabled: true` UND `transport.type: redis`; die SQL-Bindung behandelt\n# die Umgebungsvariable derzeit als optional (DB-Verbindungs-Authentifizierung + TLS bilden die\n# Sicherheitsgrenze - rtp-proxy-ADR-011 Q1).
network.yml	transport	type				# Speicher-Backend für prozessübergreifenden Zustand.\n# - `in-memory`: nur für die Entwicklung; nichts verlässt die JVM (REQ-RTP-NET-002\n#   Gleichheit per Konstruktion).\n# - `sql`: DB-als-Bus (rtp-proxy-ADR-011). Verwendet den vorhandenen RTP-Datenbank-\n#   Accessor-Pool aus `database.yml` wieder. Rückfalloption, wenn Redis nicht verfügbar ist.\n# - `redis`: Jedis-gestützte Heartbeats + Pub/Sub-Verteilung (rtp-proxy-ADR-005).\n#   Phase 2e-Redis A1: Heartbeats und Snapshot funktionieren; der atomare Claim (genutzt für\n#   backend-übergreifende Reservierungs-Tokens) kommt in A2. Projektziel ist\n#   redis-first; stelle `type: redis` um, sobald du eine von allen Backends und Proxys\n#   gemeinsam genutzte Redis-Instanz hast.
network.yml	transport.redis	host				# Erforderlich, wenn `type: redis`. Hostname oder IP der Redis-Instanz,\n# die von jedem Backend und Proxy im Netzwerk gemeinsam genutzt wird.
network.yml	transport.redis	port				# Standard-Redis-Port. Überschreiben, falls dein Deployment einen abweichenden verwendet.
network.yml	transport.redis	password				# Optional. Für unauthentifiziertes Redis (Dev/Test) leer lassen / weglassen;\n# setzen, wenn Redis-ACL oder `requirepass` konfiguriert ist.
network.yml	heartbeat	intervalMs				# Wie oft dieses Backend seine Zustandszeile veröffentlicht. 1000ms ist der Standard,\n# der von Publishern auf Proxy- und Backend-Seite verwendet wird; die Poll-Schleife\n# des Proxys muss Zeilen innerhalb von `staleAfterMs` sehen, um sie als aktiv zu werten.
network.yml		routing				# Router auf Backend-Seite (L6 / rtp-proxy-ADR-014). Wenn `routing.mode`\n# `local` ist (Standard), führt `/rtp` nur die lokale Pipeline aus und der Rest\n# dieser Datei ist nur informativ. Auf `auto` umstellen, um dieses Backend in\n# die serverübergreifende Warteschlange aufzunehmen (weiterhin lokal zuerst, wenn das lokale\n# Backend die angeforderte Region verfügbar hat).
network.yml	routing	mode				# `local`  - niemals in die serverübergreifende Warteschlange eintragen (D2-Standard;\n#            keine Verhaltensänderung für Server vor L6).\n# `auto`   - lokal bevorzugen, wenn dieses Backend die Region bedienen kann; nur dann\n#            in die Warteschlange eintragen, wenn lokal nicht bedient werden kann.\n# `always` - immer in die Warteschlange eintragen (Entwickler- / Abnahme-\n#            Testmodus; nicht für die Produktion empfohlen).
network.yml	routing	lobbyMode				# Lobby-Modus (L6 Slice I). Wenn true, wird dieses Backend zu einem reinen Dispatch-\n# Knoten:\n#  - Heartbeats veröffentlichen eine leere `regions`-Menge und `acceptingRequests:false`,\n#    damit Peers dieses Backend nie als serverübergreifendes Ziel auswählen.\n#  - Ein bloßes `/rtp` (ohne `region=`-Argument) leitet automatisch zum Peer +\n#    der Region mit dem größten `regionKeptCounts`-Wert im Snapshot weiter\n#    ("most-kept"-Politik, v1). Explizites `rtp region=<server>:<region>`\n#    funktioniert weiterhin wie in Slice H2.\n#  - Wenn kein Peer eine Region anbietet, lehnt bloßes `/rtp` mit der\n#    lokalisierten `networkRegionUnavailable`-Meldung ab, statt stillschweigend\n#    in die (leere) lokale Pipeline durchzufallen.\n# Standard false bewahrt das Verhalten vor Slice I.
network.yml		queue				# Serverübergreifende Warteschlange (L6 / rtp-proxy-ADR-014). Alle Schlüssel hier werden\n# ignoriert, wenn `network.enabled: false` oder `routing.mode: local`.
network.yml	queue	maxDepth				# Maximale Anzahl lokal gepufferter Eintragungen, bevor der Gegendruck\n# neue `/rtp`-Aufrufe mit `RoutingDecision.FallbackReason.QUEUE_FULL` ablehnt.
network.yml	queue	flushIntervalMs				# Flush-Takt für Dirty-Writes des Backends (ms). Niedriger = geringere Ende-zu-Ende-\n# Latenz, höher = weniger Roundtrips zum Transport. 250ms ist der\n# Standard aus PROPOSAL Abschnitt 7.
network.yml	queue	pollIntervalMs				# Poll-Takt des Backend-Status-Caches (ms). Bestimmt, wie oft das Backend\n# `rtp:net:wq:status:<pid>` liest, um den Fortschritt je Spieler zu aktualisieren.
network.yml	queue	entryTtlMs				# Optionales passives Altern der Envelope-HASHes. `0` deaktiviert (terminale\n# Übergänge löschen den Envelope-HASH gemäß D3 weiterhin explizit per DEL); auf einen\n# positiven Wert setzen, wenn du eine betreiber-sichtbare TTL für hängende Envelopes willst.
network.yml	queue	crossServerRequestsPerSecond				# Ratenbegrenzung für serverübergreifende `/rtp`-Eintragungen (Token-Bucket). Betreiber-\n# Sicherheitsnetz gegen außer Kontrolle geratene Clients.
network.yml	queue	workerThreads				# Anzahl der BLPOP-Worker auf Proxy-Seite (rtp-proxy-velocity). Nur erhöhen, wenn\n# beobachtet wird, dass der Proxy einen einzelnen Worker auslastet; der Dispatcher und\n# der Transport-Pool sind die eigentlichen Engpässe.
network.yml		reservation				# Lebenszyklus der Reservierungs-Tokens (L6 / REQ-RTP-NET-011).
network.yml	reservation	reapIntervalMs				# Takt des TTL-Reapers auf Proxy-Seite (ms). Der Reaper räumt abgelaufene Tokens auf\n# und löst `ReleaseSink.onRelease(tokenId, TTL_EXPIRED)` aus, damit am selben Ort liegende\n# Backends die Koordinate an `networkKeptLocations` zurückgeben können.
network.yml	reservation	ttlMs				# TTL je Token (ms). Eine beanspruchte, aber nicht verbrauchte Reservierung, die älter\n# als dieser Wert ist, gilt als verwaist und wird freigegeben.
network.yml		regionCollision				# Politik bei Regions-Kollisionen (L6 / rtp-proxy-ADR-014 Abschnitt Region Collisions).\n# In L6 wird nur `warn` ausgeliefert; `rename-local` und `reject-startup` sind\n# dokumentierte Folgeaufgaben. Unbekannte Werte fallen stillschweigend auf `warn` zurück.
safety.yml		invulnerabilityTime				# --- RTP Sicherheitskonfiguration ---\n# Dokumentation: https://github.com/DailyStruggle/RTP/blob/master/docs/admin/SAFETY.md\n# Sekunden der Unverwundbarkeit nach Abschluss eines Teleports.\n# 0 deaktiviert das Unverwundbarkeitsfenster nach dem Teleport.\n# @type: integer\n# @range: [0, null]\n# @unit: seconds\n# @default: 5
safety.yml		safetyRadius				# Blockradius rund um den Landepunkt, der auf Gefahren geprüft wird.\n# 0 prüft nur den Landeblock und die unmittelbare Vertikale.\n# @type: integer\n# @range: [0, null]\n# @unit: blocks\n# @default: 0
safety.yml		staleChunkRetryLimit				# Maximale Wiederholungen des Stale-Chunk-Schutzes, bevor der Versuch fehlschlägt.\n# @type: integer\n# @range: [0, null]\n# @default: 2
safety.yml		anvilPrefilterEnabled				# Den Off-Thread-Anvil-NBT-Vorfilter verwenden, um Kandidaten zu verwerfen,\n# ohne ihre Chunks zu laden.\n# @type: boolean\n# @default: true
safety.yml		platformRadius				# Radius der Notfall-Landeplattform am Zielort.\n# -1 deaktiviert die Plattform vollständig.\n# @type: integer\n# @range: [-1, null]\n# @unit: blocks\n# @default: -1
safety.yml		platformDepth				# Tiefe (vertikale Dicke) der Notfallplattform.\n# @type: integer\n# @range: [1, null]\n# @unit: blocks\n# @default: 1
safety.yml		platformAirHeight				# Über der Notfallplattform freigeräumte Lufthöhe.\n# @type: integer\n# @range: [0, null]\n# @unit: blocks\n# @default: 2
safety.yml		platformMaterial				# Material der Notfall-Landeplattform.\n# @type: material\n# @source: material\n# @default: GLASS
safety.yml		airBlocks				# Blöcke, die bei Lande-Sicherheitsprüfungen als begehbare Luft behandelt werden.\n# Akzeptiert Bukkit-Material-Namen und "#minecraft:<tag>"-Tag-Referenzen.\n# @type: list<material>\n# @source: material
safety.yml		unsafeBlocks				# Blöcke, die einen Landepunkt ungültig machen (Lava, Gefahren usw.).\n# Akzeptiert Bukkit-Material-Namen, "#minecraft:<tag>"-Tag-Referenzen und\n# Zustands-Prädikate wie "*[waterlogged=true]".\n# @type: list<material>\n# @source: material
safety.yml		biomeWhitelist				# Wenn true, ist die biomes-Liste eine Whitelist (nur diese Biome sind\n# erlaubt). Wenn false, ist sie eine Blacklist (diese Biome werden ausgeschlossen).\n# @type: boolean\n# @default: false
safety.yml		biomes				# Biome, die gemäß biomeWhitelist als Whitelist- oder Blacklist-Mitglieder behandelt werden.\n# @type: list<biome>\n# @source: biome
safety.yml		version				# ÄNDERE NICHT DIE VERSIONSNUMMER
