relpath	parent_path	base_key	index	new_key	new_value	new_comment
messages.yml		placeholders				# --- Komunikaty RTP widoczne dla gracza ---\n# Wszystkie ciagi widoczne dla gracza i konsoli.\n#\n# Formatowanie:\n#   - klasyczne kody kolorow Bukkit (np. &a, &e, &c)\n#   - szesnastkowe kody kolorow (np. #2636ef)\n#   - symbole PlaceholderAPI (gdy PAPI jest zainstalowane)\n#\n# Symbole zastepcze:\n#   - Wspolne symbole "[Pn]" sa zdefiniowane na liscie `placeholders` ponizej.\n#     [P0] to domyslnie prefiks RTP.\n#   - Symbole specyficzne dla komunikatu (np. [attempts], [world]) sa opisane\n#     bezposrednio nad kazdym komunikatem, ktory ich uzywa.\n#\n# ###############################################################################\n# Sekcja 1: Konfiguracja ogolna\n# ###############################################################################\n# lista dodatkowych symboli zastepczych\n# format: Pn - gdzie n to indeks na tej liscie
messages.yml		alreadyTeleporting				# ###############################################################################\n# Sekcja 2: Teleportacja\n# ###############################################################################\n# podczas teleportacji wyswietl to
messages.yml		teleportCancel				# jesli teleportacja zostanie anulowana
messages.yml		days				# ###############################################################################\n# Sekcja 3: Formatowanie czasu\n# ###############################################################################\n# dla symboli czasu: jak nazywac dni, godziny, minuty, sekundy i milisekundy
messages.yml		oldFile				# ###############################################################################\n# Sekcja 4: System i zarzadzanie\n# ###############################################################################\n# wersja pliku konfiguracyjnego jest nizsza niz najnowsza\n# zmienna: [filename] - nazwa pliku, wraz z rozszerzeniem
messages.yml		busy				# wtyczka jest zajeta przeladowywaniem
messages.yml		invalidCommand				# wtyczka nie ma podkomendy lub parametru zadanego przez uzytkownika\n# zmienna: [arg] - sprobowany argument
messages.yml		locationSaved				# ###############################################################################\n# Sekcja 5: Logi administracyjne\n# ###############################################################################\n# logowane, gdy lokalizacje sa zapisywane/wczytywane z bazy danych\n# zmienna: [amount] - liczba lokalizacji\n# zmienna: [region] - nazwa regionu
messages.yml		scanStart				# ###############################################################################\n# Sekcja 6: Komenda skanowania\n# ###############################################################################\n# komunikaty zwiazane z komenda skanowania\n# zmienna: [scan_regions] - lista regionow
messages.yml		scanStatus				# zmienne: [scan_chunks], [scan_totalChunks], [scan_cps], [scan_landPercentage], [scan_eta]
messages.yml		infoTitle				# ###############################################################################\n# Sekcja 7: Komenda info\n# ###############################################################################\n# komunikaty zwiazane z komenda info
messages.yml		infoFoliaRegionsHeader				# Wiersz naglowka wprowadzajacy tabele per-region Folia (tylko srodowisko Folia).
messages.yml		infoFoliaRegion				# Szablon wiersza dla pojedynczego regionu Folia. Zmienne: [regionId] [tps1m]\n# [mspt] [playerCount] [queueDepth] [tickBudgetUtilisation].
messages.yml		worldInfo				# pod-listy info\n# zmienne: [world], [region], [requirePermission], [override], [shape], [worldBorderOverride], [cacheCap], [cached], [keptCache], [unkeptCache], [backlogCache], [backlogCacheCap]
messages.yml		rtp				# ###############################################################################\n# Sekcja 8: Opisy komend\n# ###############################################################################\n# wyswietlane w komendzie pomocy
messages.yml		menuInvalid				# ###############################################################################\n# Sekcja 8b: Uogolniony framework menu\n# ###############################################################################\n# Wysylane, gdy konkretna komenda /rtp menu ... jest zniekształcona, wskazuje na\n# nieznana sciezke/parametr lub nie przechodzi bramki uprawnien po stronie serwera.\n# ADR-050: klikniecia w menu to konkretne komendy, wiec nie ma tokenu do wygasniecia.
