relpath	parent_path	base_key	index	new_key	new_value	new_comment
messages.yml		placeholders		symboleZastepcze		
messages.yml		alreadyTeleporting		juzTeleportowany		
messages.yml		teleportDeniedReloading		teleportOdmowaPrzeladowanie		
messages.yml		delayMessage		wiadomoscOpoznienia		
messages.yml		chunkLoading		ladowanieChunkow		
messages.yml		teleportMessage		wiadomoscTeleportu		
messages.yml		teleportCancel		teleportAnulowano		
messages.yml		unsafe		niebezpieczny		
messages.yml		cooldownMessage		wiadomoscOdnowienia		
messages.yml		noLocationsQueued		brakLokalizacjiWKolejce		
messages.yml		queueUpdate		aktualizacjaKolejki		
messages.yml		notEnoughMoney		zaMaloPieniedzy		
messages.yml		days		dni		
messages.yml		hours		godziny		
messages.yml		minutes		minuty		
messages.yml		seconds		sekundy		
messages.yml		millis		millis		
messages.yml		oldFile		staryPlik		
messages.yml		newWorld		nowySwiat		
messages.yml		invalidWorld		nieprawidlowySwiat		
messages.yml		reloading		przeladowywanie		
messages.yml		reloaded		przeladowano		
messages.yml		updating		aktualizowanie		
messages.yml		updated		zaktualizowano		
messages.yml		badArg		nieprawidlowyArgument		
messages.yml		consoleCmdNotAllowed		komendaKonsoliNiedozwolona		
messages.yml		busy		zajety		
messages.yml		invalidCommand		nieprawidlowaKomenda		
messages.yml		noPerms		brakUprawnien		
messages.yml		locationSaved		lokalizacjaZapisana		
messages.yml		locationLoaded		lokalizacjaZaladowana		
messages.yml		scanStart		scanStart		
messages.yml		scanReset		skanReset		
messages.yml		scanCancel		skanAnuluj		
messages.yml		scanPause		scanPause		
messages.yml		scanResume		skanWznow		
messages.yml		scanRunning		skanDziala		
messages.yml		scanNotRunning		skanNieDziala		
messages.yml		scanStatus		scanStatus		
messages.yml		infoTitle		infoTytul		
messages.yml		infoTickets		infoTickets		
messages.yml		infoTeleports		infoTeleports		
messages.yml		infoMSPT		infoMSPT		
messages.yml		infoTotalLoads		infoLadowaniaRazem		
messages.yml		infoLoadsByOrigin		infoLadowaniaWgZrodla		
messages.yml		infoLeakRate		infoWspolczynnikWycieku		
messages.yml		infoQueueDepth		infoGlebokoscKolejki		
messages.yml		infoPendingTeleports		infoOczekujaceTeleporty		
messages.yml		infoAvgPipelineMs		infoSredniaPipelineMs		
messages.yml		infoHeap		infoHeap		
messages.yml		infoHealthPipelineHeader		infoKondycjaPipelineNaglowek		
messages.yml		infoTps		infoTps		
messages.yml		infoMSPTLive		infoMSPTLive		
messages.yml		infoSoftCap		infoMiekkiLimit		
messages.yml		infoDatabaseLatencyMs		infoOpoznienieBazyMs		
messages.yml		infoThresholdTpsGreen		infoProgTpsZielony		
messages.yml		infoThresholdTpsYellow		infoProgTpsZolty		
messages.yml		infoThresholdMsptGreen		infoProgMsptZielony		
messages.yml		infoThresholdMsptYellow		infoProgMsptZolty		
messages.yml		infoThresholdCacheFillGreen		infoProgWypelnienieCacheZielony		
messages.yml		infoThresholdCacheFillYellow		infoProgWypelnienieCacheZolty		
messages.yml		infoThresholdNetworkAgeYellow		infoProgWiekSieciZolty		
messages.yml		infoFoliaRegionsHeader		infoFoliaRegionyNaglowek		
messages.yml		infoFoliaRegion		infoFoliaRegion		
messages.yml		infoDisclaimerHeader		infoZastrzezenieNaglowek		
messages.yml		infoDisclaimer		infoZastrzezenie		
messages.yml		infoWorldHeader		infoSwiatNaglowek		
messages.yml		infoConsoleWorldHeader		infoKonsolaSwiatNaglowek		
messages.yml		infoWorld		infoSwiat		
messages.yml		infoRegionHeader		infoRegionNaglowek		
messages.yml		infoConsoleRegionHeader		infoKonsolaRegionNaglowek		
messages.yml		infoRegion		infoRegion		
messages.yml		worldInfo		swiatInfo		
messages.yml		regionInfo		regionInfo		
messages.yml		rtp		rtp		
messages.yml		rtp_description		rtpOpis		
messages.yml		help		pomoc		
