relpath	parent_path	base_key	index	new_key	new_value	new_comment
messages.yml		alreadyTeleporting			&7[P0] już jesteś teleportowany!	
messages.yml		teleportDeniedReloading			&7[P0] teleportacje są tymczasowo wyłączone, gdy plugin się przeładowuje. Spróbuj ponownie za chwilę.	
messages.yml		chunkLoading			&7[P0] Wczytywanie chunków! proszę czekać...	
messages.yml		teleportCancel			&7[P0] Teleportacja anulowana!	
messages.yml		unsafe			&7[P0] nie udało się znaleźć bezpiecznego miejsca w ciągu [attempts] prób	
messages.yml		cooldownMessage			&7[P0] Nie możesz teleportować się ponownie przez [remainingCooldown]	
messages.yml		noLocationsQueued			#f5eb73[P0] brak gotowych lokalizacji w tej chwili	
messages.yml		queueUpdate			#2636ef[P0] twoje miejsce w kolejce: [spot]	
messages.yml		notEnoughMoney			&7[P0] potrzebujesz co najmniej $[money] na to.	
messages.yml		oldFile			&b[P0] wykryto stary [filename]. Aktualizowanie	
messages.yml		newWorld			&b[P0] wykryto nowy świat '[world]'	
messages.yml		invalidWorld			&7[P0] nie udało się znaleźć świata '[world]'	
messages.yml		reloading			&b[P0] wczytywanie [filename]...	
messages.yml		reloaded			&b[P0] pomyślnie wczytano [filename].	
messages.yml		updating			&a[P0] aktualizowanie [filename]...	
messages.yml		updated			&a[P0] pomyślnie zaktualizowano [filename].	
messages.yml		badArg			&c[P0] nieprawidłowy argument polecenia [arg]	
messages.yml		consoleCmdNotAllowed			&c[P0] Musisz być graczem w grze, aby wykonać to polecenie.	
messages.yml		busy			&c[P0] zajęty	
messages.yml		invalidCommand			&c[P0] nieprawidłowe polecenie - [arg]	
messages.yml		noPerms			&7Przykro mi, ale nie masz uprawnień do wykonania tego polecenia. Skontaktuj się z administratorami serwera, jeśli uważasz, że to błąd.	
messages.yml		locationSaved			&7[P0] Pomyślnie zapisano [amount] lokalizacji dla [region]	
messages.yml		locationLoaded			&7[P0] Pomyślnie wczytano [amount] lokalizacji dla [region]	
messages.yml		scanStart			&a[P0] zadanie skanowania uruchomione dla regionów: [scan_regions]	
messages.yml		scanReset			&7[P0] kolejka skanowania zresetowana dla regionów: [scan_regions]	
messages.yml		scanCancel			&7[P0] zadanie skanowania anulowane dla regionów: [scan_regions]	
messages.yml		scanPause			#A020F0[P0] zadanie skanowania wstrzymane dla regionów: [scan_regions]	
messages.yml		scanResume			#10A5F5[P0] zadanie skanowania wznowione dla regionów: [scan_regions]	
messages.yml		scanRunning			&c[P0] zadanie skanowania już działa dla regionów: [scan_regions]	
messages.yml		scanNotRunning			&c[P0] zadanie skanowania nie działa dla regionów: [scan_regions]	
messages.yml		scanStatus			&a[P0] ukończono [scan_chunks] / [scan_totalChunks] chunków dla regionów: [scan_regions]. [scan_cps] cps. Procent lądu: [scan_landPercentage]%. ETA: [scan_eta]	
messages.yml		infoTickets			&7Globalne aktywne bilety chunków: #7E9CC8[tickets]	
messages.yml		infoTeleports			&7Aktywne maszyny stanów teleportacji: #7E9CC8[teleports]	
messages.yml		infoMSPT			&7Bieżący MSPT pluginu: #7E9CC8[mspt]	
messages.yml		infoTotalLoads			&7Łącznie wczytanych chunków: #7E9CC8[loads]	
messages.yml		infoLoadsByOrigin			&7Wczytania wg źródła: #7E9CC8[loadsByOrigin]	
messages.yml		infoLeakRate			&7Bieżący wskaźnik wycieku chunków: #7E9CC8[leakRate]	
messages.yml		infoQueueDepth			&7Gracze oczekujący w kolejkach regionów: #7E9CC8[queueDepth]	
messages.yml		infoPendingTeleports			&7Oczekujące potoki teleportacji: #7E9CC8[pendingTeleports]	
messages.yml		infoAvgPipelineMs			&7Śr. opóźnienie potoku: #7E9CC8[avgPipelineMs] ms	
messages.yml		infoHeap			&7Sterta JVM: #7E9CC8[heapUsedMb] / [heapMaxMb] MiB	
messages.yml		infoHealthPipelineHeader			&7--- Kondycja: potok ---	
messages.yml		infoTps			&7TPS (1m/5m/15m): #7E9CC8[tps1m] / [tps5m] / [tps15m]	
messages.yml		infoMSPTLive			&7MSPT serwera: #7E9CC8[mspt] ms (&7budżet ticka: #7E9CC8[tickBudgetUtilisation]&7)	
messages.yml		infoSoftCap			&7Gracze: #7E9CC8[playerCount] / [softCap]	
messages.yml		infoDatabaseLatencyMs			&7Opóźnienie bazy danych: #7E9CC8[databaseLatencyMs] ms	
messages.yml		infoFoliaRegionsHeader			&7--- Regiony Folia ---	
messages.yml		infoDisclaimerHeader			&7--- Zastrzeżenie diagnostyczne ---	
messages.yml		infoDisclaimer			&7Uwaga diagnostyczna: Jeśli całkowita liczba osieroconych chunków serwera przekracza łączną liczbę wczytań tego pluginu ([loads]), ten plugin nie jest jedynym źródłem wycieku pamięci.	
messages.yml		infoWorldHeader			#008080Światy:	
messages.yml		infoConsoleWorldHeader			&7--- Światy ---	
messages.yml		infoRegionHeader			#63C5DARegiony:	
messages.yml		infoConsoleRegionHeader			&7--- Regiony ---	
messages.yml		rtp			&b/rtp - teleportuj do losowej lokalizacji	
messages.yml		rtp_description			teleportuj do losowej lokalizacji	
messages.yml		help			&b/rtp help - zobacz to	
messages.yml		help_description			opisz polecenia	
messages.yml		reload			&b/rtp reload - przeładuj pliki konfiguracyjne	
messages.yml		reload_description			przeładuj pliki konfiguracyjne	
messages.yml		scan			&b/rtp scan - wypróbuj wszystkie możliwe rozmieszczenia regionów, aby skrócić czas wczytywania	
messages.yml		scan_description			wyczyść zapisane dane i wypróbuj wszystkie możliwe rozmieszczenia regionów	
messages.yml		config_description			aktualizuj pliki konfiguracyjne w czasie działania	
messages.yml		info_description			sprawdź bieżący stan pluginu	
messages.yml		test_description			testuj funkcje RTP	
messages.yml		menuHoverFallbackType			typ: [type]	
messages.yml		menuHoverFallbackBounds			akceptowane: [values]	
messages.yml		menuPickValue			&7wybierz wartość dla [param] (uruchomi: /rtp [command] [param]:<value>)	
messages.yml		menuConstructed			&7budowanie: #7E9CC8/rtp [command]	
messages.yml		menuRootHint			&7kliknij opcję poniżej, aby zacząć	
messages.yml		menuFrontPageHoverAdmin			&7narzędzia operatora: konfiguracja, skany, diagnostyka, przeładowanie	
messages.yml		menuAdminPanelHoverConfig			&7otwórz wyselekcjonowany selektor konfiguracji	
messages.yml		menuAdminPanelHoverRegions			&7dodaj, usuń lub edytuj konfiguracje poszczególnych regionów	
messages.yml		menuAdminPanelHoverWorlds			&7dodaj, usuń lub edytuj konfiguracje poszczególnych światów	
messages.yml		menuAdminPanelHoverEffects			&7dodaj, usuń lub edytuj efekty teleportacji dla grup	
messages.yml		menuAdminPanelHoverInfo			&7pokaż wersję pluginu, liczbę regionów i stan kolejki	
messages.yml		menuAdminPanelHoverDiagnostics			&7uruchamia pełny zestaw diagnostyczny; może być kosztowne	
messages.yml		menuAdminPanelHoverMemory			&7zrzuć aktywne bilety chunków i alokacje potoku	
messages.yml		menuAdminPanelHoverScan			&7otwórz podmenu skanowania (start / pauza / anuluj)	
messages.yml		menuAdminPanelHoverReload			&7przeładowuje wszystkie pliki konfiguracyjne; trwające teleportacje mogą zostać zakłócone	
messages.yml		menuAdminPanelHoverBrowse			&7otwórz odwzorowane drzewo poleceń /rtp	
messages.yml		menuAdminPanelHoverVisualizations			&7otwórz mapy i inne wizualizacje dla operatora	
messages.yml		menuVisualizationsHint			&7wybierz region, aby zobaczyć jego mapę złych lokalizacji	
messages.yml		menuVisualizationsHoverRegion			&7otwórz mapę pokazującą złe lokalizacje w &b[region]	
messages.yml		menuVisualizationsEmpty			&7(brak skonfigurowanych regionów)	
messages.yml		menuPrefabSurvivalDefaultHover			&7przywróć dostarczone ustawienia domyślne (nakładka tożsamościowa)	
messages.yml		menuPrefabLowPerformanceHover			&7słabe hosty / współdzielone VPS-y z CPU: dłuższy puls, mniejsze pamięci podręczne, wyłączony cache logowania	
messages.yml		menuPrefabHighPerformanceHover			&7dedykowany sprzęt / duża liczba graczy: krótki puls, duże pamięci podręczne, włączony cache logowania	
messages.yml		menuPrefabFoliaTunedHover			&7regionalny harmonogram folia: szybsze pulsy na region, mniej równoczesnych biletów chunków	
messages.yml		menuPrefabMultiWorldHover			&7utwórz jeden region na świat na podstawie bieżącego domyślnego	
messages.yml		menuPrefabConfirmHint			&7przejrzyj zmiany poniżej, a następnie kliknij potwierdź lub anuluj	
messages.yml		infoBookRefreshHover			&7Ponownie wyrenderuj tę stronę na podstawie świeżej migawki metryk.	
messages.yml		infoBookSwitchToTextHover			&7Uruchom ponownie /rtp info na czacie zamiast w książce.	
messages.yml		infoBookOverflowFooter			&7(treść skrócona - kliknij, aby zobaczyć pełny wynik na czacie)	
messages.yml		infoBookAutoRefreshDeferredNote			&8(automatyczne odświeżanie nie jest jeszcze obsługiwane; kliknij Odśwież, aby zaktualizować)	
messages.yml		configFileEmptyHint			&7(brak edytowalnych kluczy w tym pliku)	
messages.yml		configViewRawHint			&7[P0] widok książki niedostępny; powrót do surowego zrzutu.	
messages.yml		configValueUnsetPlaceholder			&8(nieustawione)	
messages.yml		configPendingRowHover			kliknij, aby wycofać	
messages.yml		mapBindingMissing			&c[P0] renderowanie map nie jest dostępne na tym serwerze.	
messages.yml		mapResolverMissing			&c[P0] nie zarejestrowano resolvera wykresów dla tego żądania.	
messages.yml		mapUnavailable			&e[P1] dane wykresu nie są teraz dostępne.	
messages.yml		mapBusy			&e[P1] usługa map jest zajęta; spróbuj ponownie za chwilę.	
messages.yml		menuInfoBadPointsLabel			#9D7CD8&l# mapa złych punktów	
messages.yml		networkQueued			&7[P0] w kolejce na cel na innym serwerze (pozycja [position])...	
messages.yml		alreadyQueued			&cJuż czekasz w kolejce międzyserwerowej (pozycja [position]). Proszę czekać.	
messages.yml		networkTimedOut			&c[P0] teleportacja międzyserwerowa przekroczyła limit czasu podczas oczekiwania na backend.	
messages.yml		waitlistFull			&c[P0] kolejka międzyserwerowa jest pełna; spróbuj ponownie za chwilę.	
messages.yml		networkRouting			&7[P0] kierowanie do backendu...	
messages.yml		networkReserved			&a[P0] współrzędna zarezerwowana na [server]. Przenoszenie...	
messages.yml		networkTransferring			&a[P0] przenoszenie na [server]...	
messages.yml		networkFallback			&e[P0] tryb międzyserwerowy niedostępny ([reason]); powrót do lokalnego.	
messages.yml		networkFailed			&c[P0] teleportacja międzyserwerowa nie powiodła się: [reason].	
messages.yml		networkRegionUnavailable			&c[P0] żaden backend nie obsługuje obecnie regionu '[region]'.	
messages.yml		networkRegionAmbiguous			&c[P0] region '[region]' jest niejednoznaczny między backendami; przypnij serwer.	
messages.yml		multiconfigToggleRemoveModeOff			&8[ ] tryb usuwania	
messages.yml		multiconfigToggleRemoveModeOn			&c[x] tryb usuwania (kliknij wpis, aby usunąć)	
messages.yml		multiconfigRowAdd			&a+ dodaj nowy...	
